max_len,game_size,mode,acc,topsim,message_entropy
3,4,test,0.7807291746139526,0.6417335179250088,2.2070600085182566
3,4,train,0.7716145714124044,,
3,10,test,0.8366048137346903,0.45350184044900227,5.4590522071487655
3,10,train,0.8514975905418396,,
3,22,test,0.757812519868215,0.2797995482234488,6.980646696878154
3,22,train,0.8442708452542623,,
4,4,test,0.7989583412806193,0.6874701590664226,2.086488819408471
4,4,train,0.8294270435969034,,
4,10,test,0.831298828125,0.39826188455595884,5.437032465773097
4,10,train,0.8523044188817342,,
4,22,test,0.6528645853201548,0.2806946680623375,7.016085212604744
4,22,train,0.7846794128417969,,
5,4,test,0.8093750178813934,0.6688971550906899,1.9740227713409972
5,4,train,0.826953132947286,,
5,10,test,0.8411458333333334,0.47330516267835265,6.098494709946344
5,10,train,0.8942708373069763,,
5,22,test,0.766503910223643,0.3210937853510765,7.583333984774138
5,22,train,0.825706680615743,,
10,4,test,0.903125007947286,0.5091544779767515,2.2713848449388636
10,4,train,0.9039033253987631,,
10,10,test,0.8718587160110474,0.4686013950591472,7.314851639202007
10,10,train,0.9389546116193136,,
10,22,test,0.7768880128860474,0.316638414783122,8.39946435445193
10,22,train,0.8711996475855509,,
